일자,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률,국고채10년(평균)
2011-10-20,23495,710,-2.93,23552.62,24150,24400,23495,517112,12256704245,1.06E+11,1.06E+11,4500000,코스피 200,235.57,,,0.0411
2011-10-21,23850,355,1.51,23997.35,23695,23965,23515,56310,1329819265,1.07E+11,1.08E+11,4500000,코스피 200,240.02,4.45,1.89,0.0411
2011-10-24,24765,915,3.84,24817.08,24205,24765,24180,979,24018415,1.11E+11,1.12E+11,4500000,코스피 200,248.21,8.19,3.41,0.0411
2011-10-25,24605,160,-0.65,24715.2,24805,24805,24565,15047,371649505,1.11E+11,1.11E+11,4500000,코스피 200,247.2,1.01,-0.41,0.0411
2011-10-26,24655,50,0.2,24751.15,24400,24655,24325,55120,1351031520,1.11E+11,1.11E+11,4500000,코스피 200,247.56,0.36,0.15,0.0411
2011-10-27,25040,385,1.56,25113.13,24905,25040,23500,355615,8895349660,1.13E+11,1.13E+11,4500000,코스피 200,251.2,3.64,1.47,0.0411
2011-10-28,25210,170,0.68,25239.64,25670,25670,25090,20030,508231715,1.13E+11,1.14E+11,4500000,코스피 200,252.47,1.27,0.51,0.0411
2011-10-31,25020,190,-0.75,24979.77,25070,25375,24840,30002,750967475,1.13E+11,1.05E+11,4500000,코스피 200,249.88,2.59,-1.03,0.0411
2011-11-01,24975,45,-0.18,24987.1,24790,25165,24790,5000,125088630,1.05E+11,1.05E+11,4200000,코스피 200,249.92,0.04,0.02,0.0448
2011-11-02,24680,295,-1.18,24799.05,24320,24730,24320,102908,2511501675,1.04E+11,1.04E+11,4200000,코스피 200,248.03,1.89,-0.76,0.0448
2011-11-03,24315,365,-1.48,24402.23,24800,24800,24250,8952,219464510,1.02E+11,1.02E+11,4200000,코스피 200,244.09,3.94,-1.59,0.0448
2011-11-04,25210,895,3.68,25228.59,24880,25220,24840,7886,197613605,1.06E+11,1.07E+11,4200000,코스피 200,252.34,8.25,3.38,0.0448
2011-11-07,24985,225,-0.89,25069.73,25450,25450,24955,11344,284071470,1.06E+11,1.05E+11,4250000,코스피 200,250.78,1.56,-0.62,0.0448
2011-11-08,24815,170,-0.68,24823.03,25145,25145,24790,5000,124981555,1.04E+11,1.04E+11,4200000,코스피 200,248.32,2.46,-0.98,0.0448
2011-11-09,24885,70,0.28,24914.76,25130,25130,24760,10305,256448965,1.05E+11,1.05E+11,4200000,코스피 200,249.23,0.91,0.37,0.0448
2011-11-10,24270,615,-2.47,23590.12,24200,24295,23705,35299,852885720,1.02E+11,99078488528,4200000,코스피 200,236.02,13.21,-5.3,0.0448
2011-11-11,24130,140,-0.58,24286.82,23820,24270,23670,6005,144149745,1.01E+11,1.02E+11,4200000,코스피 200,242.99,6.97,2.95,0.0448
2011-11-14,24715,585,2.42,24816.22,24570,24880,24570,15079,372256580,1.04E+11,1.04E+11,4200000,코스피 200,248.27,5.28,2.17,0.0448
2011-11-15,24595,120,-0.49,24609.08,24590,24700,24425,5001,123058910,1.03E+11,1.03E+11,4200000,코스피 200,246.21,2.06,-0.83,0.0448
2011-11-16,24080,515,-2.09,24186.28,24650,24895,24015,5061,123883825,1.01E+11,1.02E+11,4200000,코스피 200,241.98,4.23,-1.72,0.0448
2011-11-17,24385,305,1.27,24445.65,24370,24460,23805,19134,463443745,1.02E+11,1.03E+11,4200000,코스피 200,244.6,2.62,1.08,0.0448
2011-11-18,23860,525,-2.15,23927.08,23995,24025,23715,5038,120054155,1.00E+11,1.00E+11,4200000,코스피 200,239.43,5.17,-2.11,0.0448
2011-11-21,23535,325,-1.36,23648.88,23660,23725,23390,35381,835106800,98847000000,99325295402,4200000,코스피 200,236.64,2.79,-1.17,0.0448
2011-11-22,23635,100,0.42,23767.11,23450,23775,23285,13139,310578415,99267000000,99821854089,4200000,코스피 200,237.8,1.16,0.49,0.0448
2011-11-23,23105,530,-2.24,23153.05,23625,23625,23045,5032,116781980,97041000000,97242795581,4200000,코스피 200,231.68,6.12,-2.57,0.0448
2011-11-24,23190,85,0.37,23321.72,23010,23340,22965,10181,236317240,97398000000,97951234409,4200000,코스피 200,233.35,1.67,0.72,0.0448
2011-11-25,22995,195,-0.84,23091.96,23175,23175,22865,6440,148118975,96579000000,96986219872,4200000,코스피 200,231.03,2.32,-0.99,0.0448
2011-11-28,23605,610,2.65,23649.26,23340,23630,23340,16984,397983030,99141000000,91049647075,4200000,코스피 200,236.59,5.56,2.41,0.0448
2011-11-29,24220,615,2.61,24241.06,23875,24230,23720,47809,1149884055,93247000000,93328062157,3850000,코스피 200,242.5,5.91,2.5,0.0448
2011-11-30,24155,65,-0.27,24108.91,24100,24195,23965,15231,366923305,92996750000,92819297576,3850000,코스피 200,241.19,1.31,-0.54,0.0448
2011-12-01,25185,1030,4.26,25142.11,25045,25265,24950,45095,1137439260,96962250000,96797129722,3850000,코스피 200,251.52,10.33,4.28,0.0446
2011-12-02,25105,80,-0.32,25107.04,25125,25190,25020,60109,1509132625,96654250000,96662115796,3850000,코스피 200,251.19,0.33,-0.13,0.0446
2011-12-05,25180,75,0.3,25207.03,25345,25345,25020,10016,251483500,96943000000,97047056755,3850000,코스피 200,252.22,1.03,0.41,0.0446
2011-12-06,25005,175,-0.69,24932.95,25060,25185,24795,60006,1492380925,96269250000,98485138277,3850000,코스피 200,249.48,2.74,-1.09,0.0446
2011-12-07,25185,180,0.72,25141.96,25010,25220,25000,110017,2771487690,99480750000,99310760275,3950000,코스피 200,251.57,2.09,0.84,0.0446
2011-12-08,25105,80,-0.32,25013.27,25060,25185,24785,70020,1751708795,99164750000,1.05E+11,3950000,코스피 200,250.31,1.26,-0.5,0.0446
2011-12-09,24390,715,-2.85,24473.73,24550,24650,24320,20008,489172235,1.02E+11,1.05E+11,4200000,코스피 200,244.93,5.38,-2.15,0.0446
2011-12-12,24820,430,1.76,24839.32,24780,24845,24670,30004,743505280,1.07E+11,1.07E+11,4300000,코스피 200,248.55,3.62,1.48,0.0446
2011-12-13,24305,515,-2.07,24330.99,24510,24520,24260,11809,287573740,1.05E+11,1.05E+11,4300000,코스피 200,243.48,5.07,-2.04,0.0446
2011-12-14,24175,130,-0.53,24217.71,24255,24310,24105,6441,155823245,1.04E+11,1.04E+11,4300000,코스피 200,242.35,1.13,-0.46,0.0446
2011-12-15,23585,590,-2.44,23653.65,23885,23935,23560,223305,5281486955,1.01E+11,1.02E+11,4300000,코스피 200,236.72,5.63,-2.32,0.0446
2011-12-16,23895,310,1.31,23963.64,23775,23895,23685,6010,142993570,1.03E+11,1.03E+11,4300000,코스피 200,239.82,3.1,1.31,0.0446
2011-12-19,23135,760,-3.18,23160.45,23895,23895,22710,130650,3027636350,99480500000,94957852330,4300000,코스피 200,231.74,8.08,-3.37,0.0446
2011-12-20,23280,145,0.63,23366.64,23365,23410,23165,5109,119198085,95448000000,95803223380,4100000,코스피 200,233.83,2.09,0.9,0.0446
2011-12-21,24025,745,3.2,24134.81,23915,24110,23800,5404,129642430,98502500000,97745995087,4100000,코스피 200,241.51,7.68,3.28,0.0446
2011-12-22,24015,10,-0.04,24124.14,23995,24030,23890,15004,359840985,97260750000,97702771540,4050000,코스피 200,241.4,0.11,-0.05,0.0446
2011-12-23,24360,345,1.44,24406,24250,24465,24250,10010,244140270,98658000000,98844290624,4050000,코스피 200,244.22,2.82,1.17,0.0446
2011-12-26,24260,100,-0.41,24245.83,24440,24440,24140,10002,242535470,98253000000,98195603162,4050000,코스피 200,242.64,1.58,-0.65,0.0446
2011-12-27,23980,280,-1.15,24061.09,24265,24335,23540,65001,1547768315,97119000000,95041309142,4050000,코스피 200,240.79,1.85,-0.76,0.0446
2011-12-28,24015,35,0.15,24098.95,24235,24235,23885,5004,119936345,94859250000,95190853358,3950000,코스피 200,238.15,2.64,-1.1,0.0446
2011-12-29,24200,185,0.77,24090.83,23785,24200,23720,25009,602046260,95590000000,95158785803,3950000,코스피 200,238.08,0.07,-0.03,0.0446
2012-01-02,24040,160,-0.66,24153.52,24035,24125,23800,7001,167693035,94958000000,95406388158,3950000,코스피 200,238.7,0.62,0.26,0.0469
